 IP Address: 128.186.217.2 	 Port: 992 	 SSL: Yes 	 Hostname: nwalt.fsu.edu
 IP Address: 128.194.103.18 	 Port: 992 	 SSL: Yes 	 Hostname: teague-tammvs1.tamu.edu
 IP Address: 128.197.90.40 	 Port: 992 	 SSL: Yes 	 Hostname: uisa.bu.edu
 IP Address: 128.227.128.69 	 Port: 992 	 SSL: Yes 	 Hostname: mvsyvipa.cns.ufl.edu
 IP Address: 128.227.128.72 	 Port: 992 	 SSL: Yes 	 Hostname: nermvsa.nerdc.ufl.edu
 IP Address: 128.227.128.75 	 Port: 992 	 SSL: Yes 	 Hostname: nermvs.cns.ufl.edu
 IP Address: 128.228.1.20 	 Port: 992 	 SSL: Yes 	 Hostname: cunyjes3.cuny.edu
 IP Address: 128.48.96.126 	 Port: 992 	 SSL: Yes 	 Hostname: uc50-vipf.ucop.edu
 IP Address: 128.48.96.128 	 Port: 992 	 SSL: Yes 	 Hostname: ucimc-mvsvps.ucop.edu
 IP Address: 128.48.96.165 	 Port: 992 	 SSL: Yes 	 Hostname: cpua-uc10-pchid-141.ucop.edu
 IP Address: 128.48.96.167 	 Port: 992 	 SSL: Yes 	 Hostname: cpua-uc10-pchid-161.ucop.edu
 IP Address: 128.48.96.168 	 Port: 992 	 SSL: Yes 	 Hostname: cpub-uc30-pchid-121.ucop.edu
 IP Address: 128.48.96.170 	 Port: 992 	 SSL: Yes 	 Hostname: cpub-uc30-pchid-151.ucop.edu
 IP Address: 128.48.96.172 	 Port: 992 	 SSL: Yes 	 Hostname: ucimc-m27-eelink.ucop.edu
 IP Address: 128.48.96.192 	 Port: 992 	 SSL: Yes 	 Hostname: dog.ucop.edu
 IP Address: 128.48.96.193 	 Port: 992 	 SSL: Yes 	 Hostname: uccmvst-plink-01.ucop.edu
 IP Address: 128.48.96.194 	 Port: 992 	 SSL: Yes 	 Hostname: ucdbras.ucop.edu
 IP Address: 128.48.96.195 	 Port: 992 	 SSL: Yes 	 Hostname: ucdbrat.ucop.edu
 IP Address: 128.48.96.196 	 Port: 992 	 SSL: Yes 	 Hostname: mvst-eelink.ucop.edu
 IP Address: 128.48.96.197 	 Port: 992 	 SSL: Yes 	 Hostname: dogtest-vipa.ucop.edu
 IP Address: 128.48.96.199 	 Port: 992 	 SSL: Yes 	 Hostname: uc30-viph.ucop.edu
 IP Address: 128.48.96.231 	 Port: 992 	 SSL: Yes 	 Hostname: tsmp1.ucop.edu
 IP Address: 128.48.96.235 	 Port: 992 	 SSL: Yes 	 Hostname: vtape-ucsd-p2p.ucop.edu
 IP Address: 128.48.96.243 	 Port: 992 	 SSL: Yes 	 Hostname: ucsb-vipa.ucop.edu
 IP Address: 128.48.96.244 	 Port: 992 	 SSL: Yes 	 Hostname: ucsb-pchid-140.ucop.edu
 IP Address: 128.48.96.245 	 Port: 992 	 SSL: Yes 	 Hostname: ucsb-pchid-160.ucop.edu
 IP Address: 128.48.96.51 	 Port: 992 	 SSL: Yes 	 Hostname: uc10-vipa.ucop.edu
 IP Address: 128.48.96.54 	 Port: 992 	 SSL: Yes 	 Hostname: mvsb-vlink1.ucop.edu
 IP Address: 128.48.96.55 	 Port: 992 	 SSL: Yes 	 Hostname: mvsb-eelink.ucop.edu
 IP Address: 128.48.96.57 	 Port: 992 	 SSL: Yes 	 Hostname: uc10-vipb.ucop.edu
 IP Address: 128.48.96.58 	 Port: 992 	 SSL: Yes 	 Hostname: uc10-vipc.ucop.edu
 IP Address: 128.48.96.64 	 Port: 992 	 SSL: Yes 	 Hostname: uc30-vipa.ucop.edu
